DOI;Title;Abstract;Exclusion_Criteria;Tema a tratar;Categorización;Falsos positivos;ojo con este;Categories;AbstractORArticle;Categories_RQ1;Categories_RQ2;Categories_RQ3;Categories_RQ4
10.3390/children9091398;Feasibility of Using Multiplayer Game-Based Dual-Task Training with Augmented Reality and Personal Health Record on Social Skills and Cognitive Function in Children with Autism;The purpose of this preliminary study was to evaluate the feasibility of multiplayer game contents with dual-task exercises using augmented reality (AR) and a personal health record (PHR) system for social skills and cognitive function in children with autism. The present study used a single group pretest–posttest study design with fourteen children diagnosed with autism and aged 6–16 years. The intervention consisted of various game contents designed specifically with cognitive and motor tasks, performed for 30 min per session, twice a week, for three weeks. Outcome measures were conducted before and after the intervention and included social skills and cognitive function. A satisfactory survey was conducted post-intervention to assess the usability of the performed games. As result, statistically significant improvements were observed in all subscales of the social skills and cognitive function expected in two subscales of each measured outcome. Parents and children appreciated the overall game program, and no risk of injury and dizziness were mentioned. This preliminary study found that multiplayer game-based dual-task training using AR and PHR was feasible and has a promising efficacy for children with autism. However, there is the need to conduct a randomized control study with a large sample size. © 2022 by the authors.;;Trata de estudiar la aplicación de la AR con las habilidades sociales y la función cognitiva;AR;GAME,TEA;;AR;0;AR;;;
10.1007/s10639-021-10805-8;The use of augmented reality to improve the development of activities of daily living in students with ASD;In today's society, technology plays a fundamental role. More and more activities of daily life are being developed with the help of technology. One of the emerging technologies in recent years is augmented reality, (AR) which generate great benefits por people with disability. These visual technologies provide safe and controlled environments in learning to solve social situations for people with autism spectrum disorders (ASD). For this reason, it is proposed as an objective to analyse the effect of AR as a tool for learning the handwashing process. This research was developed using AR leaving from a quantitative approach, quasi-experimental methodology and pretest–posttest design. The Denver questionnaire was employed to collect data before the intervention and after the end of the intervention. In addition to this, the Onirix application was worked to create the AR environments. In this sense, the experimental group was composed of 6 students diagnosed with ASD (Level I, II, III) who developed activities with the AR application. While the control group was composed of 6 students diagnosed with ASD (level I, II, III) who performed similar activities in the handwashing process with traditional methodologies. The sessions had a duration of 20–30 min over 12 weeks to complete 10 sessions. In addition, a field record was used to leave proof of the children’s behaviour throughout the different sessions. In this way, it was possible to study how the child's behaviour had evolved from the pretest to the end of the intervention (post-test). The results show that there have been improvements in the post-test caused by working with augmented reality in several areas, such as, for example, in eye contact. This is reflected for example in item 3 which has a value of p = 0.005 and which is manifested in that the students due to AR turn towards the therapist when they hear his voice. If the study by Bakhtiarvand (2020) is followed, an improvement in the children's motivation for develop social interaction skills has been found. This is reflected in the fact that a value of p = 0.006 was reached after the intervention with the children who used the AR, having a greater interest in interacting socially. Likewise, Ferreira et al. (2020) note that AR has led to progress in the reaction time of students with ASD. For example, they identify a number or letter faster due to AR. In the opposite direction, are the investigations of Lorenzo et al. (2019) where there have been no improvements due to AR. The possibility of designing an application adapted in real time to the children's needs is considered as a future line of research. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.;;Trata de analizar el efecto de la RA como herramienta para el aprendizaje del proceso de lavado de manos para personas con TEA;AR, TEA;;;AR;0;AR;;;
10.1016/j.ijhcs.2021.102734;Design of a toolkit for real-time executive function assessment in custom-made virtual experiences and interventions;Virtual Reality (VR) and other game-like experiences are popular intervention platforms in neurocognitive rehabilitation research. Executive Functions (EF), the cognitive processes that regulate attention and goal-oriented action, are recognized as a domain of concern in several congenital and acquired neurocognitive conditions (e.g.: ADHD, autism, addiction, cognitive decline, traumatic brain injury, and stroke). VR-based simulations of real-world tasks have shown potential for rehabilitation in independent functioning. The custom nature of such projects makes cross-intervention analysis difficult and complicates development of best-practices. We have designed a toolkit for building virtual interactions that can consistently replicate traditional cognitive tests (such as the Wisconsin Card Sorting Task and Multitasking Task) as well as extend to more complex tasks in any virtual context. Analysis of participant performance data between traditional tasks and these VR replications may indicate the toolkit can successfully replicate traditional measures while also extending into more complex contexts. © 2021;;Trata sobre estudiar simulaciones basadas en RV de tareas del mundo real para ayudar a las FE funciones ejecutivas en la rehabilitación de diversas condiciones neurocognitivas ;VR;TEA;;AR,VR;0;VR,AR;;;
10.1109/CVR55417.2022.9967646;Shopping Training to Autistic Children and Adolescents for Enhancing Daily Life Shopping Skills using Virtual Reality and Leap Motion;"The aim of the study is to measure the effectiveness of training children and adolescents with Autism Spectrum Disorder (ASD) by using Virtual Reality (VR). The process is formulated as a game visualizing one of the daily life skills; shopping skills. It allows the user to select the products needed and pay for it, using a Head Mounted Display (HMD) and Leap Motion sensor for more immersion and realistic experience, to help them live more independent life. An existing cafeteria was modeled to be the training environment in virtual reality, and to have a pre and post assessment for results measure. Study participants were 11 children and adolescents recruited with certain criteria. © 2022 IEEE.";;Trata sobre medir la eficacia del entrenamiento de niños y adolescentes con trastorno del espectro autista (TEA) mediante el uso de la realidad virtual (RV);VR, TEA;GAME;;AR,VR;0;VR,AR;;;
10.1007/978-3-031-08648-9_53;Augmented Reality Game for Children with Autism Spectrum Disorder;Games play an important role in the development of children. Especially when it comes to children with special needs like autism, it is important to have a different approach when it comes to learning. Shapes and colours are the most important fundamental skills that help in the recognition of objects around and help with letters and words. Balloon Pop is an application that is designed keeping in mind the requirements of children diagnosed with autism. The paper gives an idea of the user’s needs and requirements and shows how the project solves the problem with augmented reality game design. The goal of the project is to design a game for autistic children that will help them learn the abstract concept of shapes and colours. The Digital game-based learning methodology (DGBL) is used in developing the game. The paper consists of the design rules that have been followed in designing for better interaction along with hardware and software architecture describing the flow of the project. Also, at last, the test and evaluation and 8 users have been done by using the System Usability Scale (SUS) tool. The application has been proven to be helpful for children along with parents/therapists to achieve the goal to make children interact and communicate freely, increase focus, and learn the abstract concepts of shapes and colour easily. © 2022, Springer Nature Switzerland AG.;;Trata sobre la teoría de aprendizaje basado en juegos y AR de niños autistas;AR, GAME, TEA;;;AR;0;AR;;;
10.1007/978-3-031-05039-8_20;Hoope Project: User-Centered Design Process Applied in the Implementation of Augmented Reality for Children with ASD;In the present investigation, a little-known disciplinary field that integrates aspects of computer science is delved into: HCI human-computer interaction, usability, accessibility, and on the other hand, children with ASD. The scope of the research includes the analysis, design and implementation of software that uses augmented reality in a playful environment with the aim of reinforcing educational aspects of children diagnosed with ASD, it is in a stage of development and research, currently working on a proof of concept through the implementation of a prototype, the previous studies have been worked for a period of 4 years where aspects related to DCU were considered in a particular way, © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.;;Trata de la investigación que incluye el análisis, diseño e implementación de un software que utiliza realidad aumentada (RA) en un entorno lúdico con el objetivo de reforzar aspectos educativos de niños diagnosticados con TEA;AR, TEA;;;AR;0;AR;;;
10.1007/978-3-031-05654-3_29;Applying Asymmetrical VR Collaborative Games to the Enhancement of Peer Collaboration and Oral Communication in Children with Autism;"Autism is a condition in which children are born with social impairments in social communication, imagination, and empathy, thus, they have difficulty interacting socially with peers or effectively interpreting each other’s intentions to engage in different social content. As a result of these deficits, most children with autism are unable to play cooperatively or effectively interact socially with their peers, which makes them socially isolated and difficult to integrate into the community. In view of this, this study conducted an asymmetric VR collaborative game for children with autism, where children with autism and Typical Development (TD) children participated in a collaborative game in pairs, and both children were required to play the game through peer cooperation and oral communication. A total of 6 participants aged 7–9 years old, including 3 children with high-functioning autism and 3 TD children, were recruited for this study. During the game, social assessments and behavioral observations were conducted by the researcher and the therapist to understand whether the asymmetrical VR collaborative game has an impact on children with autism in building peer cooperation and oral communication skills, in order to achieve outcomes that enhance social communication and trans-personal thinking skills. This study used an asymmetrical VR collaborative game to present the game situation with different viewpoints, which allowed children with autism and TD children to work together to solve the game tasks and levels in a peer-to-peer and oral communication manner. In this game, children with autism were required to interact socially with TD children through an asymmetrical play style, thus, triggering the application of peer cooperation and oral communication skills in children with autism. In this game, the researcher used the micro-behaviors for video coding (MBV) to observe and assess five domains, (1) mutual attention; (2) meaningful conversation; (3) collaboration; (4) proximity; and (5) turn taking. According to the results of this study, children with autism exhibited behavioral orientations in the asymmetrical VR collaborative game that were more oriented toward strengthening trans-personal and empathic abilities than traditional solo play, especially in peer cooperation and oral communication. On this basis, the expectation of this study was that the application of asymmetrical VR collaborative games had different degrees of specificity and implementation advantages for children with autism in terms of social communication, imagination, and empathy skills. Children with autism could learn to grasp the meaning of others’ spoken communication, and thus, develop the concept of peer cooperation during the game, which in turn facilitated their mastery of social skills in all aspects of the theory of the mind. © 2022, The Author(s), under exclusive license to Springer Nature Switzerland AG.";;Trata el concepto de Realidad Virtual Asimétrica, una de las tendencias más potentes para forzar la interacción social real entre niños con TEA y niños neurotípicos (TD);VR, GAME, TEA;;;AR,points,VR;0;VR,AR;;points;
10.1155/2022/2017975;A Systematic Review on Serious Games in Attention Rehabilitation and Their Effects;"Attention is a basic and main mental task and can play an important role in the functioning of other brain abilities such as intelligence, memory, learning, and perception, and its deficit occurs in 80% of patients with traumatic brain injury. The use of game-based tools for rehabilitation is rapidly expanding. Cognitive rehabilitation via video games is an emerging hot topic in cognitive science. Serious games serve a specific purpose in addition to entertainment. They can be more engaging than exercises since they replace reward and motivation systems with real-world motivations as a complement for rehabilitation activities. This study was aimed at identifying and categorizing serious computer games used for attention rehabilitation and evaluating their effects. Six electronic databases (Scopus, PubMed, ISI, Embase, IEEE, and Cochrane) were searched in August 2021. The search strategy consisted of three main concepts of ""serious game"", ""cognitive deficits"", and ""cognitive rehabilitation"". The inclusion criteria were (1) journal articles, (2) English language, (3) being published in the last 10 years, (4) human participants, and (5) game-based intervention. In the 30 included studies, 22 unique games were utilized for attention rehabilitation. Lumosity (20%), Brain Age (Dr. Kawashima's Brain Training) (10%), and MoHRS (6.66%) were the most common games among the studies. There were (57%) casual, (23%) action, (10%) simulation, and (10%) multiple genres. Of the 47 tools used in the studies, 5 utilized cross-modal oddball attention tasks, 4 utilized game performance, 3 utilized the paced auditory serial additional test (PASAT), and the rest employed other tools. A total of 73 outcome measures were related to attention, 42 measures did not have significant results, 30 were significantly improved, 1 was significantly deteriorated, and 4 articles did not have any specific measures for attention evaluation. Thus, the results revealed the positive effect of serious games on attention. However, issues such as absence of scientific teams, the variety of the disorders that cause defects, the variety of criteria, differences in measurements, lack of long-term follow-up, insufficient RCT studies, and small sample sizes should be considered when designing, developing, and using game-based systems to prevent bias. © 2022 Leila Shahmoradi et al.";;Trata sobre identificar y categorizar los juegos de computadora serios utilizados para la rehabilitación de la atención de pacientes con lesiones cerebrales;GAME;;;AR,rewards;0;AR;;rewards;
10.1504/IJMEI.2022.121131;Virtual reality-based real-time solution for children with learning disabilities and slow learners - An innovative attempt;Autism spectrum disorder (ASD) is a type of developmental disorder generally characterised by slow learning and impairments in communication and social interactions, accompanied by repetitive behaviour and limited interests. This product is an innovative attempt to support and address this issue by providing a means to assist in diagnosing ASD using telemedicine approach and also to provide an interactive and effective means of learning for children diagnosed with ASD or children with slight learning disabilities. The system features games that have been proven to be effective with children diagnosed with ASD. Virtual reality which is being speculated to be a powerful tool in helping children with learning difficulties has been used to enhance the effectiveness of these games. The concept of dynamic difficulty is also integrated into the game in order to increase or decrease the challenge of each level depending on the performance of the child which further increases the effectiveness of the game. © © 2022 Inderscience Enterprises Ltd.;;Trata de abordar el problema de aprendizaje lento y deficiencias en la comunicación e iteracción social, mediante un enfoque de telemedicina para ayudar en el diagnóstico del TEA y proporcionar un medio de aprendizaje interactivo y eficaz para niños diagnosticados o con ligeras dificultades de aprendizaje;VR;GAME, TEA;;AR,VR;0;VR,AR;;;
10.1111/1460-6984.12678;The utility of LENA as an indicator of developmental outcomes for young children with autism;"Background: There is growing understanding of the potential benefits of a multi-method approach to accurately capture language skills of children on the autism spectrum. Tools such as Language ENvironment Analysis (LENA) provide an efficient means of capturing and analysing early child vocalizations (CVs) and the language learning environment. While developed to capture whole-day recordings of child language in naturalistic settings, there is potential utility in capturing, but little knowledge about, primary LENA metrics—including CVs and conversational turns (CTs)—and novel metrics, such as vocalization ratios (VRs), sampled in clinical practice settings where children are often seen. Moreover, recent research indicates that the novel VR may offer a broad indicator of children's developmental level, beyond just their language abilities, a hypothesis yet to be investigated in a large sample of children for whom the LENA was designed (i.e., pre-schoolers). Aims: To explore the extent to which primary and novel LENA metrics collected during brief one-to-one clinical interaction was a useful indicator of developmental outcomes for children on the autism spectrum. Methods & Procedures: Participants were recruited as part of an on-going research programme evaluating early intervention outcomes (n = 99; age 14–47 months). Language samples were collected at intake (T1) using the wearable LENA Digital Language Processors during a one-to-one, play-based assessment with a clinician. Direct (Mullen Scales of Early Learning—MSEL) and parent-report (Vineland Adaptive Behavior Scales—VABS) measures of verbal and non-verbal skills were also collected at intake (T1) and again at exit (T2), approximately 12 months later. Outcomes & Results: Few correlations were observed between child measures and CVs, a primary LENA metric. The novel VR metric was associated with concurrent direct assessment (MSEL) (and to a lesser extent parent report; VABS) measures of verbal and non-verbal skills, with moderate positive correlations found between VRs and all directly assessed subscale scores. However, VRs did not uniquely contribute to the prediction of child outcomes when baseline skills were also considered. Conclusions & Implications: The novel VR may provide an insight into autistic children's overall development in addition to their language ability, suggesting that even when collected in a short recording format, LENA might be a useful component of a multi-method assessment approach. What this paper adds: What is already known on the subject To accurately capture language skills of children on the autism spectrum, multi-method approaches, including natural language sampling, are recommended. Tools such as LENA provide an efficient means of capturing and analysing naturalistic child language and the language learning environment. What this paper adds to existing knowledge This study demonstrates the potential benefits, and limitations, of using LENA to augment assessment of young children on the autism spectrum. Specifically, LENA provides a complementary, and low burden, method for capturing child language samples. What are the potential or actual clinical implications of this work? Novel metrics, such as the VR, collected during brief clinical interactions might be a useful component of a multi-method assessment approach for children on the autism spectrum. © 2021 Royal College of Speech and Language Therapists";;Trata de explorar hasta qué punto las métricas primarias y novedosas de LENA, recolectadas durante breves interacciones clínicas individuales, son indicadores útiles de los resultados del desarrollo en niños autistas;TEA;;;AR,VR;0;VR,AR;;;
10.1109/ECICE52819.2021.9645737;A VR-based Training and Intelligent Assessment System Integrated with Multi-modal Sensing for Children with Autism Spectrum Disorder;Autism Spectrum Disorder (ASD) exhibits social communication and social interaction disorders, and abnormal restrictive and repetitive behaviors. However, symptoms of infants less than 1-year-old are difficult to reliably predict subsequent diagnosis. Patients with mild ASD may not be discovered until school age, because schools have more opportunities for social activities. In addition, the therapist also needs to consider the labor cost. To provide effective treatment, it also needs to consume more resources. The current situation in Taiwan is that outlying islands and remote areas often have insufficient manpower for therapists. If VR technology can be applied, some of the problems may be solved. However, due to the global pandemic, COVID-19, early treatments or group treatments in many countries have been forced to stop. If VR technology can provide interpersonal interaction scenes, the training of ASD children can hardly be affected.This research uses Virtual Reality (VR) technology, combined with wearable multi-model sensing technology, including EEG, eye tracking, heart rate variability (HRV), and breath-sensing strap. Physiological signals and game performance data are collected while users are training, and integrate multiple evaluation scales such as ADOS, SRS, and CBCL. Statistical analysis of these data is performed to classify them through machine learning models to develop a VR assistance system that can be used to evaluate the diagnosis, severity, and social behavior treatment of ASD. This system presents assessment and therapy in a game-oriented way. In addition to enhancing the incentives for users to participate, it provides better training results than traditional training. It is also an effective and convenient tool for the therapist to use during evaluation and training. © 2021 IEEE.;;Trata sobre la detección del TEA en una investigación que utiliza la Realidad Virtual (RV) combinada con tecnología de detección multimodal vestible, que incluye EEG (electroencefalografía), seguimiento ocular, variabilidad de la frecuencia cardíaca (HRV) , una correa de detección de la respiración y machine learning;VR, GAME, TEA, IA;;ojo con este;AR,EEG,eye tracking,VR,physiological;0;VR,AR;;;EEG,eye tracking,physiological
10.1109/TNSRE.2021.3108351;Design of an Interactive Virtual Reality System, InViRS, for Joint Attention Practice in Autistic Children;Many children with Autism Spectrum Disorder (ASD) exhibit atypical gaze behaviors related to joint attention, a fundamental social-communication skill. Specifically, children with ASD show differences in the skills of gaze sharing and gaze following. In this work we present a novel virtual reality (VR)-based system, called InViRS, in which children with ASD play games allowing them to practice gaze sharing and gaze following. InViRS has three main design contributions: (i) a closed-loop joint attention paradigm with real-time tracking of the participant's eye gaze and game performance measures, (ii) an assistive feedback mechanism that provides guidance and hints in real time, and (iii) a controller that adaptively changes the avatar's gaze prompts according to the performance measures. Results from a pilot study to evaluate the feasibility of InViRS with 9 autistic1 children and 9 typically developing (TD) children offered preliminary support for the feasibility of successful gameplay as well as positive impacts on the targeted skills of gaze sharing and gaze following. © 2001-2011 IEEE.;;Trata de un sistema novedoso basado en realidad virtual (RV), llamado InViRS, en el que los niños con TEA participan en juegos que les permiten practicar habilidades relacionadas con la atención atípica;VR, TEA;GAME;;AR,eye tracking,VR;0;VR,AR;;;eye tracking
10.1007/s43678-020-00006-6;Distraction in the Emergency department using Virtual reality for INtravenous procedures in Children to Improve comfort (DEVINCI): a pilot pragmatic randomized controlled trial;"Objectives: Intravenous (IV) procedures cause pain and distress in the pediatric emergency department (ED). We studied the feasibility and acceptability of virtual reality distraction for patient comfort during intravenous procedures. Methods: Children were randomized to a control (standard care) or intervention group (standard care + virtual reality). Thresholds for feasibility and acceptability (primary outcomes) were determined through a priori established criteria. The level of procedural pain (principal clinical outcome) and distress, as well as memory of pain at 24 h were collected and reported as medians (Q1, Q3) for each group. Results: 63 patients were enrolled, with a high rate of recruitment (78.8%) and game completion (90.3%). Patients, parents and, healthcare providers reported high satisfaction levels. There were no serious adverse events. Five of the 30 patients (16.7%) exposed to virtual reality reported mild side effects. Self-reported procedural pain (verbal numerical rating scale: 3 (1, 6)/10 vs 3 (1, 5.5)/10, p = 0.75) was similar between groups. Further exploratory clinical measures were reported for the intervention and control groups, respectively: self-rated distress during the procedure (Child Fear Scale: 1 (0, 2)/4 vs 2 (0, 3)/4); distress evaluated by proxy during the procedure (Procedure Behavior Check List: 8 (8, 9)/40 vs 10 (8, 15)/40); memory of pain at 24 h (VNRS: 2 (1, 3)/10 vs 4 (2, 6.5)/10). Conclusion: The addition of virtual reality to standard care is feasible and acceptable for pain and distress management during IV procedures in the pediatric ED. Occasional mild, self-resolving side effects were observed in the intervention group. Self-reported pain during the procedure was similar between groups. ClinicalTrials.gov Identifier: NCT03750578. © 2020, Canadian Association of Emergency Physicians (CAEP)/ Association Canadienne de Médecine d'Urgence (ACMU).";;Trata de estudiar la viabilidad y aceptabilidad de la distracción mediante realidad virtual (RV) para la comodidad del paciente durante los procedimientos intravenosos;VR;GAME;;AR,VR;0;VR,AR;;;
10.1080/21622965.2019.1610964;Innovative use of virtual reality in autism spectrum disorder: A case-study;"Autism Spectrum Disorders (ASDs) are developmental disorders affecting communication and behavior. ASD incidence in the world population is about 1%, with a 4:1 ratio between males and females. In clinical practice, ASDs have been usually treated with cognitive-behavioral approaches, involving a face-to-face interaction with the therapist. Over the last years, virtual reality (VR) has played an important role in neurorehabilitation, even for ASD cognitive treatment. A 16-year-old boy with severe ASD and his caregiver were enrolled in the study. Two different cognitive trainings were administered; first, the boy was submitted to one-month cognitive behavioral therapy (CBT); then, after one month of rest, a combined approach using VR (by means of the BTS-Nirvana System) and CBT was applied. Only the combined approach provided an improvement in attention processes and spatial cognition skills, with a significant reduction of ideomotor stereotypes. According to this experience, the use of VR in addition to CBT could be a useful and promising tool to improve cognitive function in individuals severely affected by ASD. © 2019 Taylor & Francis Group, LLC.";;Trata de un estudio del uso de la RV como complemento de la TCC para demostrar que podría ser una herramienta útil y prometedora para mejorar la función cognitiva en personas gravemente afectadas por el TEA;VR, TEA;;;AR,VR;0;VR,AR;;;
10.1109/FIE44824.2020.9273818;Tracking Representational Flexibility Development through Speech Data Mining;In this work-in-progress research we exploited and investigated a virtual reality (VR) based, flexibility learning environment (FLE) in which adolescents with autism use, customize, and design an assortment of simulation games that represent and exemplify the application of forces and Newton's laws of motion. The simulation/game modeling and making tasks acted as the primers of practicing and assessing representational flexibility in solving the engineering design problems with computational thinking. The participants' participation behaviors and verbal utterances during the intervention sessions have been archived via screen and webcam recordings. The current study findings indicated that two approaches of speech or text data mining, multi-label classification and similarity index, can act as the in-situ performance assessment methods to evaluate the representational flexibility development for engineering design and computational thinking of a heterogeneous learner group. © 2020 IEEE.;;Trata de explotar e investigar un entorno de aprendizaje de flexibilidad (FLE) basado en realidad virtual (RV) en el que adolescentes con autismo utilizan, personalizan y diseñan una variedad de juegos de simulación que representan y ejemplifican la aplicación de fuerzas y las leyes del movimiento de Newton;VR, TEA;GAME;;AR,playground,VR;0;VR,AR;playground;;
10.1177/1362361320934214;Short report: Evaluating the safety and usability of head-mounted virtual reality compared to monitor-displayed video for children with autism spectrum disorder;"Virtual reality provides a relatively inexpensive way to learn and repeatedly practice skills in personalized, controlled, and safe computer-generated settings. These systems are increasingly receiving attention as an innovative medium for delivering interventions to children with autism spectrum disorder. Although many virtual reality systems are commercially available and their use is increasing, little is known about the safety and usability of these systems for children with autism spectrum disorder. The aim of this study was a first step in addressing this gap. A convenience sample of 35 children with a diagnosis of autism spectrum disorder participated in an immersive head-mounted display virtual reality experience and a control condition (monitor-displayed video). Levels of anxiety and negative effects experienced were not significantly different between the two conditions. Participants reported significantly enhanced spatial presence (p = 0.003; d = 0.3) and naturalness (p = 0.002; d = 0.47) for the head-mounted display–virtual reality condition, and 74% of participants preferred using head-mounted display–virtual reality over monitor-displayed video. These findings provide preliminary evidence to support the safety and usability of head-mounted display–virtual reality for children with autism spectrum disorder. Future studies are needed to replicate the results in a larger sample, a range of virtual reality experiences, and in the context of long-term exposure. Lay abstract: This study investigated the safety and usability of a virtual reality experience for children with autism spectrum disorder in a laboratory setting. In our study, the negative effects of head-mounted display–virtual reality were similar to monitor-displayed video watching. At the same time, the participants indicated that the head-mounted display–virtual reality experience provided improved realism and sense of presence. This study is a first step in understanding the impact of head-mounted display on children with autism spectrum disorder. © The Author(s) 2020.";;Trata sobre  la seguridad y usabilidad de sistemas VR para niños con trastorno del espectro autista (TEA;VR, TEA;;;AR,VR;0;VR,AR;;;
10.3390/app10092996;SoundFields: A virtual reality game designed to address auditory hypersensitivity in individuals with autism spectrum disorder;Individuals with autism spectrum disorder (ASD) are characterised as having impairments in social-emotional interaction and communication, alongside displaying repetitive behaviours and interests. Additionally, they can frequently experience difficulties in processing sensory information with particular prevalence in the auditory domain. Often triggered by everyday environmental sounds, auditory hypersensitivity can provoke self-regulatory fear responses such as crying and isolation from sounds. This paper presents SoundFields, an interactive virtual reality game designed to address this area by integrating exposure based therapy techniques into game mechanics and delivering target auditory stimuli to the player rendered via binaural based spatial audio. A pilot study was conductedwith six participants diagnosedwithASDwho displayed hypersensitivity to specific sounds to evaluate the use of SoundFields as a tool to reduce levels of anxiety associated with identified problematic sounds. During the course of the investigation participants played the game weekly over four weeks and all participants actively engaged with the virtual reality (VR) environment and enjoyed playing the game. Following this period, a comparison of pre- and post-study measurements showed a significant decrease in anxiety linked to target auditory stimuli. The study results therefore suggest that SoundFields could be an effective tool for helping individuals with autism manage auditory hypersensitivity. © 2020 by the authors.;;Trata sobre un estudio piloto con seis participantes diagnosticados con TEA que presentaban hipersensibilidad a sonidos específicos para evaluar el uso de SoundFields como herramienta para reducir los niveles de ansiedad. Durante cuatro semanas, los participantes jugaron semanalmente y todos disfrutaron de la experiencia;VR, TEA;GAME;;AR,VR;0;VR,AR;;;
10.1007/978-3-030-53294-9_28;Co-designing a head-mounted display based virtual reality game to teach street-crossing skills to children diagnosed with autism spectrum disorder;In this paper, we present a head-mounted display based virtual reality game developed to teach street-crossing skills to children and adolescents diagnosed with Autism Spectrum Disorder. The virtual reality street-crossing training game is co-designed with four teachers who work with children diagnosed with autism on a daily basis. The teachers specified a set of requirements for the gamified training application that is described and discussed in this paper alongside the plans for the future itterations. © ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering 2020.;;Trata de un juego de realidad virtual (RV) basado en visor (HMD) desarrollado para enseñar habilidades de cruce de calles Educación Vial a niños y adolescentes diagnosticados con trastorno del espectro autista (TEA);VR, GAME, TEA;;;VR;0;VR;;;
10.1007/978-3-030-50164-8_31;Mobile augmented reality app for children with autism spectrum disorder (asd) to learn vocabulary (marvoc): From the requirement gathering to its initial evaluation;"The use of different technologies for the intervention of children with autism spectrum disorder (ASD) has increased over the year with the increase in the number of children diagnosed with ASD. In recent years, among the different technologies, the researchers have started to use the augmented reality (AR) to provide the intervention of different skills to children with ASD. The use of AR has many benefits, including ubiquity, minimally work with a camera, among others. Despite several benefits, AR has been underutilized for the vocabulary learning of children with ASD. This paper presents the initial version of the Mobile augmented reality app for children with autism spectrum disorder (ASD) to learn vocabulary (MARVoc). The purpose of developing MARVoc is to support teaching staff at the centers based in Doha, Qatar, to provide an interactive learning environment to children with ASD. The requirements of the MARVoc were gathered from two centers for ASD in Doha; two specific use cases were created from which one use case was finalized for the development of MARVoc. The initial version of the MARVoc was developed; the feedback was taken from the staff working at centers for ASD in Doha, and MARVoc was updated. © Springer Nature Switzerland AG 2020.";;Trata del uso de la AR para intervenir en el aprendizaje del vocabulario en personas con TEA;AR, TEA;;;AR;0;AR;;;
10.1088/1742-6596/1235/1/012104;Implementation of Augmented Reality in Pretend Play Therapy for Children with Autism Spectrum Disorder;Autism Spectrum Disorder is a pervasive developmental disorder that will affect children in terms of interpersonal communication, social interaction, and imaginative levels in play. Many therapies to help the motor neuron performance is one of them Pretend Play. Pretend Play is a therapy that invites children in playing to demonstrate something else and tell how to use objects that are considered in the child's imagination. However, in the era of highly developed technology, many fields have used the Augmented Reality method as a visualization of various aspects. With this method researchers will present the therapeutic visualization of the block to 3D transportation tool that is useful for strengthening motor nerves and visual strength of the child. The system can run well during marker detection, marker movement, and 3D object display with the accuracy of precision angle and distance between virtual world with real world reach 100% with angle 0 at distance 31 cm and the maximum distance from the marker is 46 cm and the maximum angle is 30. © 2019 Published under licence by IOP Publishing Ltd.;;Trata de mejorar el rendimiento de las neuronas motoras, mediante juegos de AR con herramientas 3D para los niños con TEA.;AR, TEA;;;AR,motion capture;0;AR;;;motion capture
10.1109/ICSSS.2019.8882831;Identification of Autism in MR Brain Images Using Deep Learning Networks;Autism is one of the brain developmental disorders. In this proposed work MR brain images are collected from Autism brain Imaging Data Exchange database which contains both normal as well as autistic images. Brain tissue like White matter, Gray matter and Cerebrospinal Fluid are segmented. These tissue are categorized by their intensity values with white matter having the highest intensity value. Cerebrospinal Fluid has the lowest intensity value. These tissue play a critical role in restorative determination and evaluating the likelihood of the imperfections. The Segmentation results shows that in autism image the concentration of white matter is more when compared to a normal image. Segmented as well as original images were fed to the Deep Neural network classifier to perform classification of Autism brain images. The classifier is run in a single GPU with 4Gb RAM processor environment. It is trained with 40 images and it takes 6 epochs to complete the validation process with an accuracy value of 82.61% is achieved. © 2019 IEEE.;;Trata de imágenes de imágenes cerebrales de personas con TEA y de personas DT segmentadas como las originales se introdujeron en un clasificador de Redes Neuronales Profundas;TEA;IA;;AR,MR;0;AR,MR;;;
10.1088/1742-6596/978/1/012040;Augmented reality social story for autism spectrum disorder;Augmented Reality is a technique that can bring social story therapy into virtual world to increase intrinsic motivation of children with Autism Spectrum Disorder(ASD). By looking at the behaviour of ASD who will be difficult to get the focus, the lack of sensory and motor nerves in the use of loads on the hands or other organs will be very distressing children with ASD in doing the right activities, and interpret and understand the social situation in determining a response appropriately. Required method to be able to apply social story on therapy of children with ASD that is implemented with Augmented Reality. The output resulting from this method is 3D animation (three-dimensional animation) of social story by detecting marker located in special book and some simple game which done by using leap motion controller which is useful in reading hand movement in real-time. © Published under licence by IOP Publishing Ltd.;;Trata de aplicar historias sociales en la terapia de niños con TEA mediante Realidad Aumentada. El resultado de este método es una animación 3D de una historia social que se activa al detectar un marcador en un libro especial, junto con algunos juegos sencillos realizados mediante el controlador Leap Motion, el cual es útil para leer los movimientos de la mano en tiempo real;AR, TEA;GAME;;AR,motion capture;0;AR;;;motion capture
